GLOBAL,ap-northeast-1,ap-northeast-2,ap-northeast-3,ap-south-1,ap-southeast-1,ap-southeast-2,ca-central-1,cn-north-1,cn-northwest-1,eu-central-1,eu-north-1,eu-west-1,eu-west-2,eu-west-3,sa-east-1,us-east-1,us-east-2,us-gov-east-1,us-gov-west-1,us-west-1,us-west-2
,103.4.8.0/21,,,,2400:6500:0:7000::/56,,,,,,,34.248.0.0/13,,,,54.226.0.0/15,,,,2600:1f1c::/36,54.184.0.0/13
,175.41.192.0/18,,,,2400:6500:ff00::/64,,,,,,,46.51.128.0/18,,,,54.231.0.0/17,,,,2600:1fa0:c000::/40,54.200.0.0/15
,176.32.64.0/19,,,,2406:da00:8000::/40,,,,,,,46.51.192.0/20,,,,54.231.244.0/22,,,,2600:1ff8:c000::/40,54.202.0.0/15
,176.34.0.0/19,,,,2406:da18::/36,,,,,,,46.137.0.0/17,,,,54.234.0.0/15,,,,2600:1ff9:c000::/40,54.212.0.0/15
,176.34.32.0/19,,,,2406:daa0:8000::/40,,,,,,,46.137.128.0/18,,,,54.236.0.0/15,,,,2600:1ffa:c000::/40,54.214.0.0/16
,13.113.203.0/24,,,,2406:daf8:8000::/40,,,,,,,52.16.0.0/15,,,,54.239.0.0/28,,,,2600:1ffc:c000::/40,54.218.0.0/16
,52.199.127.192/26,,,,2406:daf9:8000::/40,,,,,,,52.18.0.0/15,,,,54.239.8.0/21,,,,2600:1ffe:c000::/40,54.244.0.0/16
,13.112.191.184/29,,,,2406:dafa:8000::/40,,,,,,,52.30.0.0/15,,,,54.239.16.0/20,,,,2600:1fff:c000::/40,54.245.0.0/16
,2400:6500:0:7100::/56,,,,2406:dafc:8000::/40,,,,,,,52.48.0.0/14,,,,54.239.98.0/24,,,,2620:107:300f::/64,34.216.51.0/25
,2400:6700:ff00::/64,,,,2406:dafe:8000::/40,,,,,,,52.94.248.16/28,,,,54.239.104.0/23,,,,2620:107:4000:7100::/56,35.162.63.192/26
,2406:da00:4000::/40,,,,2406:daff:8000::/40,,,,,,,52.95.244.0/24,,,,54.239.108.0/22,,,,2600:1f1c:7ff:f800::/53,35.167.191.128/26
,2406:da14::/36,,,,2400:6500:ff00::36fb:1f80/122,,,,,,,52.95.255.64/28,,,,54.240.196.0/24,,,,2600:1f1c:fff:f800::/53,52.43.76.88/29
,2406:daa0:4000::/40,,,,2400:6500:ff00::36ff:fec0/122,,,,,,,52.208.0.0/13,,,,54.240.202.0/24,,,,2620:107:300f::36b7:ff80/122,2600:1f00:4000::/40
,2406:daf8:4000::/40,,,,2406:da18:7ff:f800::/53,,,,,,,54.72.0.0/15,,,,54.240.208.0/22,,,,2620:107:300f::36f1:2040/122,2600:1f14::/35
,2406:daf9:4000::/40,,,,2406:da18:fff:f800::/53,,,,,,,54.74.0.0/15,,,,54.240.216.0/22,,,,2600:1fa0:c000::/40,2600:1fa0:4000::/40
,2406:dafa:4000::/40,,,,2406:daa0:8000::/40,,,,,,,54.76.0.0/15,,,,54.240.228.0/23,,,,2600:1ff8:c000::/40,2600:1ff8:4000::/40
,2406:dafc:4000::/40,,,,2406:daf8:8000::/40,,,,,,,54.78.0.0/16,,,,54.240.232.0/22,,,,2600:1ff9:c000::/40,2600:1ff9:4000::/40
,2406:dafe:4000::/40,,,,2406:daf9:8000::/40,,,,,,,54.154.0.0/16,,,,54.242.0.0/15,,,,2600:1ffa:c000::/40,2600:1ffa:4000::/40
,2406:daff:4000::/40,,,,2406:dafa:8000::/40,,,,,,,54.155.0.0/16,,,,67.202.0.0/18,,,,2600:1f00:c000::/40,2600:1ffc:4000::/40
,2400:6700:ff00::36f8:dc00/122,,,,2400:6500:ff00::/64,,,,,,,54.170.0.0/15,,,,72.21.192.0/19,,,,2600:1f1c::/36,2600:1ffe:4000::/40
,2400:6700:ff00::36fa:fdc0/122,,,,2406:da00:8000::/40,,,,,,,54.194.0.0/15,,,,72.44.32.0/19,,,,2600:1fff:c000::/40,2600:1fff:4000::/40
,2406:da14:7ff:f800::/53,,,,2406:da18::/36,,,,,,,54.216.0.0/15,,,,75.101.128.0/17,,,,2620:107:300f::/64,2620:107:4000:7200::/56
,2406:da14:fff:f800::/53,,,,2406:daff:8000::/40,,,,,,,54.220.0.0/16,,,,107.20.0.0/14,,,,,2620:108:7000::/44
,2406:daa0:4000::/40,,,,,,,,,,,54.228.0.0/16,,,,172.96.97.0/24,,,,,2600:1f14:7ff:f800::/53
,2406:daf8:4000::/40,,,,,,,,,,,54.229.0.0/16,,,,174.129.0.0/16,,,,,2600:1f14:fff:f800::/53
,2406:daf9:4000::/40,,,,,,,,,,,54.246.0.0/16,,,,176.32.96.0/21,,,,,2620:108:700f::36f4:34c0/122
,2406:dafa:4000::/40,,,,,,,,,,,54.247.0.0/16,,,,176.32.120.0/22,,,,,2620:108:700f::36f5:a800/122
,2400:6700:ff00::/64,,,,,,,,,,,79.125.0.0/17,,,,184.72.64.0/18,,,,,2600:1fa0:4000::/40
,2406:da00:4000::/40,,,,,,,,,,,176.34.64.0/18,,,,184.72.128.0/17,,,,,2600:1ff8:4000::/40
,2406:da14::/36,,,,,,,,,,,176.34.128.0/17,,,,184.73.0.0/16,,,,,2600:1ff9:4000::/40
,2406:daff:4000::/40,,,,,,,,,,,185.48.120.0/22,,,,204.236.192.0/18,,,,,2600:1ffa:4000::/40
,,,,,,,,,,,,52.212.248.0/26,,,,205.251.224.0/22,,,,,2600:1f00:4000::/40
,,,,,,,,,,,,34.250.63.248/29,,,,205.251.240.0/22,,,,,2600:1f14::/35
,,,,,,,,,,,,2a01:578:0:7000::/56,,,,205.251.244.0/23,,,,,2600:1fff:4000::/40
,,,,,,,,,,,,2a01:578:3::/64,,,,205.251.247.0/24,,,,,2620:108:700f::/64
,,,,,,,,,,,,2a05:d000:8000::/40,,,,205.251.248.0/24,,,,,
,,,,,,,,,,,,2a05:d018::/36,,,,207.171.160.0/20,,,,,
,,,,,,,,,,,,2a05:d050:8000::/40,,,,207.171.176.0/20,,,,,
,,,,,,,,,,,,2a05:d078:8000::/40,,,,216.182.224.0/21,,,,,
,,,,,,,,,,,,2a05:d079:8000::/40,,,,216.182.232.0/22,,,,,
,,,,,,,,,,,,2a05:d07a:8000::/40,,,,216.182.238.0/23,,,,,
,,,,,,,,,,,,2a05:d07c:8000::/40,,,,54.243.31.192/26,,,,,
,,,,,,,,,,,,2a05:d07e:8000::/40,,,,107.23.255.0/26,,,,,
,,,,,,,,,,,,2a05:d07f:8000::/40,,,,52.92.16.0/20,,,,,
,,,,,,,,,,,,2a01:578:3::36e4:1000/122,,,,52.216.0.0/15,,,,,
,,,,,,,,,,,,2a01:578:3::b022:9fc0/122,,,,54.231.0.0/17,,,,,
,,,,,,,,,,,,2a05:d018:7ff:f800::/53,,,,18.204.0.0/14,,,,,
,,,,,,,,,,,,2a05:d018:fff:f800::/53,,,,18.208.0.0/13,,,,,
,,,,,,,,,,,,2a05:d050:8000::/40,,,,18.232.0.0/14,,,,,
,,,,,,,,,,,,2a05:d078:8000::/40,,,,23.20.0.0/14,,,,,
,,,,,,,,,,,,2a05:d079:8000::/40,,,,34.192.0.0/12,,,,,
,,,,,,,,,,,,2a05:d07a:8000::/40,,,,34.224.0.0/12,,,,,
,,,,,,,,,,,,2a01:578:3::/64,,,,35.153.0.0/16,,,,,
,,,,,,,,,,,,2a05:d000:8000::/40,,,,35.168.0.0/13,,,,,
,,,,,,,,,,,,2a05:d018::/36,,,,50.16.0.0/15,,,,,
,,,,,,,,,,,,2a05:d07f:8000::/40,,,,50.19.0.0/16,,,,,
,,,,,,,,,,,,,,,,52.0.0.0/15,,,,,
,,,,,,,,,,,,,,,,52.2.0.0/15,,,,,
,,,,,,,,,,,,,,,,52.4.0.0/14,,,,,
,,,,,,,,,,,,,,,,52.20.0.0/14,,,,,
,,,,,,,,,,,,,,,,52.44.0.0/15,,,,,
,,,,,,,,,,,,,,,,52.54.0.0/15,,,,,
,,,,,,,,,,,,,,,,52.70.0.0/15,,,,,
,,,,,,,,,,,,,,,,52.72.0.0/15,,,,,
,,,,,,,,,,,,,,,,52.86.0.0/15,,,,,
,,,,,,,,,,,,,,,,52.90.0.0/15,,,,,
,,,,,,,,,,,,,,,,52.94.248.0/28,,,,,
,,,,,,,,,,,,,,,,52.95.245.0/24,,,,,
,,,,,,,,,,,,,,,,52.95.255.80/28,,,,,
,,,,,,,,,,,,,,,,52.200.0.0/13,,,,,
,,,,,,,,,,,,,,,,54.80.0.0/13,,,,,
,,,,,,,,,,,,,,,,54.88.0.0/14,,,,,
,,,,,,,,,,,,,,,,54.92.128.0/17,,,,,
,,,,,,,,,,,,,,,,54.144.0.0/14,,,,,
,,,,,,,,,,,,,,,,54.152.0.0/16,,,,,
,,,,,,,,,,,,,,,,54.156.0.0/14,,,,,
,,,,,,,,,,,,,,,,54.160.0.0/13,,,,,
,,,,,,,,,,,,,,,,54.172.0.0/15,,,,,
,,,,,,,,,,,,,,,,54.174.0.0/15,,,,,
,,,,,,,,,,,,,,,,54.196.0.0/15,,,,,
,,,,,,,,,,,,,,,,54.198.0.0/16,,,,,
,,,,,,,,,,,,,,,,54.204.0.0/15,,,,,
,,,,,,,,,,,,,,,,54.208.0.0/15,,,,,
,,,,,,,,,,,,,,,,54.210.0.0/15,,,,,
,,,,,,,,,,,,,,,,54.221.0.0/16,,,,,
,,,,,,,,,,,,,,,,54.224.0.0/15,,,,,
,,,,,,,,,,,,,,,,54.226.0.0/15,,,,,
,,,,,,,,,,,,,,,,54.234.0.0/15,,,,,
,,,,,,,,,,,,,,,,54.236.0.0/15,,,,,
,,,,,,,,,,,,,,,,54.242.0.0/15,,,,,
,,,,,,,,,,,,,,,,67.202.0.0/18,,,,,
,,,,,,,,,,,,,,,,72.44.32.0/19,,,,,
,,,,,,,,,,,,,,,,75.101.128.0/17,,,,,
,,,,,,,,,,,,,,,,107.20.0.0/14,,,,,
,,,,,,,,,,,,,,,,174.129.0.0/16,,,,,
,,,,,,,,,,,,,,,,184.72.64.0/18,,,,,
,,,,,,,,,,,,,,,,184.72.128.0/17,,,,,
,,,,,,,,,,,,,,,,184.73.0.0/16,,,,,
,,,,,,,,,,,,,,,,204.236.192.0/18,,,,,
,,,,,,,,,,,,,,,,216.182.224.0/21,,,,,
,,,,,,,,,,,,,,,,216.182.232.0/22,,,,,
,,,,,,,,,,,,,,,,216.182.238.0/23,,,,,
,,,,,,,,,,,,,,,,34.195.252.0/24,,,,,
,,,,,,,,,,,,,,,,34.226.14.0/24,,,,,
,,,,,,,,,,,,,,,,34.232.163.208/29,,,,,
,,,,,,,,,,,,,,,,34.228.4.208/28,,,,,
,,,,,,,,,,,,,,,,2406:da00:ff00::/64,,,,,
,,,,,,,,,,,,,,,,2600:1f00:8000::/40,,,,,
,,,,,,,,,,,,,,,,2600:1f18::/33,,,,,
,,,,,,,,,,,,,,,,2600:1fa0:8000::/40,,,,,
,,,,,,,,,,,,,,,,2600:1ff8:8000::/40,,,,,
,,,,,,,,,,,,,,,,2600:1ff9:8000::/40,,,,,
,,,,,,,,,,,,,,,,2600:1ffa:8000::/40,,,,,
,,,,,,,,,,,,,,,,2600:1ffc:8000::/40,,,,,
,,,,,,,,,,,,,,,,2600:1ffe:8000::/40,,,,,
,,,,,,,,,,,,,,,,2600:1fff:8000::/40,,,,,
,,,,,,,,,,,,,,,,2620:107:4000:7000::/56,,,,,
,,,,,,,,,,,,,,,,2620:107:4007::/64,,,,,
,,,,,,,,,,,,,,,,2406:da00:ff00::36f3:1fc0/122,,,,,
,,,,,,,,,,,,,,,,2406:da00:ff00::6b17:ff00/122,,,,,
,,,,,,,,,,,,,,,,2600:1f18:3fff:f800::/53,,,,,
,,,,,,,,,,,,,,,,2600:1f18:7fff:f800::/53,,,,,
,,,,,,,,,,,,,,,,2600:1fa0:8000::/40,,,,,
,,,,,,,,,,,,,,,,2600:1ff8:8000::/40,,,,,
,,,,,,,,,,,,,,,,2600:1ff9:8000::/40,,,,,
,,,,,,,,,,,,,,,,2600:1ffa:8000::/40,,,,,
,,,,,,,,,,,,,,,,2406:da00:ff00::/64,,,,,
,,,,,,,,,,,,,,,,2600:1f00:8000::/40,,,,,
,,,,,,,,,,,,,,,,2600:1f18::/33,,,,,
,,,,,,,,,,,,,,,,2600:1fff:8000::/40,,,,,
,,,,,,,,,,,,,,,,2620:107:4007::/64,,,,,
